color,bestColor,contrast,compliance
#000000,#00ff00,15.3,AAA
#000020,#00ff00,14.99,AAA
#000040,#00ff00,14.25,AAA
#000060,#00ff00,13.09,AAA
#000080,#00ff00,11.67,AAA
#0000a0,#00ff00,10.15,AAA
#0000c0,#00ff00,8.69,AAA
#0000e0,#00ff00,7.37,AAA
#002000,#00ff00,12.68,AAA
#002020,#00ff00,12.47,AAA
#002040,#00ff00,11.95,AAA
#002060,#00ff00,11.13,AAA
#002080,#00ff00,10.08,AAA
#0020a0,#00ff00,8.93,AAA
#0020c0,#00ff00,7.78,AAA
#0020e0,#00ff00,6.7,AA
#004000,#00ff00,8.83,AAA
#004020,#00ff00,8.72,AAA
#004040,#00ff00,8.47,AAA
#004060,#00ff00,8.05,AAA
#004080,#00ff00,7.48,AAA
#0040a0,#00ff00,6.83,AA
#0040c0,#00ff00,6.14,AA
#0040e0,#00ff00,5.45,AA
#006000,#00ff00,5.73,AA
#006020,#00ff00,5.68,AA
#006040,#00ff00,5.57,AA
#006060,#00ff00,5.38,AA
#006080,#00ff00,5.13,AA
#0060a0,#00ff00,4.81,AA
#0060c0,#00ff00,4.46,None
#0060e0,#00ff00,4.08,None
#008000,#00ff00,3.74,None
#008020,#00ff00,3.72,None
#008040,#00ff00,3.68,None
#008060,#00ff00,3.6,None
#008080,#00ff00,3.48,None
#0080a0,#00ff00,3.33,None
#0080c0,#00ff00,3.16,None
#0080e0,#00ff00,2.96,None
#00a000,#00ff00,2.54,None
#00a020,#00ff00,2.53,None
#00a040,#00ff00,2.51,None
#00a060,#0000ff,2.54,None
#00a080,#0000ff,2.59,None
#00a0a0,#0000ff,2.67,None
#00a0c0,#0000ff,2.78,None
#00a0e0,#0000ff,2.91,None
#00c000,#0000ff,3.49,None
#00c020,#0000ff,3.5,None
#00c040,#0000ff,3.52,None
#00c060,#0000ff,3.56,None
#00c080,#0000ff,3.62,None
#00c0a0,#0000ff,3.7,None
#00c0c0,#0000ff,3.81,None
#00c0e0,#0000ff,3.93,None
#00e000,#0000ff,4.77,AA
#00e020,#0000ff,4.78,AA
#00e040,#0000ff,4.8,AA
#00e060,#0000ff,4.84,AA
#00e080,#0000ff,4.9,AA
#00e0a0,#0000ff,4.98,AA
#00e0c0,#0000ff,5.08,AA
#00e0e0,#0000ff,5.21,AA
#200000,#00ff00,14.42,AAA
#200020,#00ff00,14.14,AAA
#200040,#00ff00,13.48,AAA
#200060,#00ff00,12.44,AAA
#200080,#00ff00,11.15,AAA
#2000a0,#00ff00,9.75,AAA
#2000c0,#00ff00,8.4,AAA
#2000e0,#00ff00,7.16,AAA
#202000,#00ff00,12.07,AAA
#202020,#00ff00,11.87,AAA
#202040,#00ff00,11.4,AAA
#202060,#00ff00,10.65,AAA
#202080,#00ff00,9.69,AAA
#2020a0,#00ff00,8.62,AAA
#2020c0,#00ff00,7.54,AAA
#2020e0,#00ff00,6.53,AA
#204000,#00ff00,8.53,AAA
#204020,#00ff00,8.43,AAA
#204040,#00ff00,8.19,AAA
#204060,#00ff00,7.79,AAA
#204080,#00ff00,7.27,AAA
#2040a0,#00ff00,6.65,AA
#2040c0,#00ff00,5.99,AA
#2040e0,#00ff00,5.33,AA
#206000,#00ff00,5.6,AA
#206020,#00ff00,5.55,AA
#206040,#00ff00,5.45,AA
#206060,#00ff00,5.27,AA
#206080,#00ff00,5.02,AA
#2060a0,#00ff00,4.72,AA
#2060c0,#00ff00,4.38,None
#2060e0,#00ff00,4.02,None
#208000,#00ff00,3.69,None
#208020,#00ff00,3.67,None
#208040,#00ff00,3.62,None
#208060,#00ff00,3.54,None
#208080,#00ff00,3.43,None
#2080a0,#00ff00,3.29,None
#2080c0,#00ff00,3.12,None
#2080e0,#00ff00,2.93,None
#20a000,#00ff00,2.51,None
#20a020,#00ff00,2.5,None
#20a040,#0000ff,2.52,None
#20a060,#0000ff,2.56,None
#20a080,#0000ff,2.62,None
#20a0a0,#0000ff,2.7,None
#20a0c0,#0000ff,2.8,None
#20a0e0,#0000ff,2.93,None
#20c000,#0000ff,3.52,None
#20c020,#0000ff,3.53,None
#20c040,#0000ff,3.55,None
#20c060,#0000ff,3.59,None
#20c080,#0000ff,3.65,None
#20c0a0,#0000ff,3.73,None
#20c0c0,#0000ff,3.83,None
#20c0e0,#0000ff,3.96,None
#20e000,#0000ff,4.8,AA
#20e020,#0000ff,4.81,AA
#20e040,#0000ff,4.83,AA
#20e060,#0000ff,4.87,AA
#20e080,#0000ff,4.92,AA
#20e0a0,#0000ff,5.0,AA
#20e0c0,#0000ff,5.11,AA
#20e0e0,#0000ff,5.24,AA
#400000,#00ff00,12.56,AAA
#400020,#00ff00,12.35,AAA
#400040,#00ff00,11.84,AAA
#400060,#00ff00,11.03,AAA
#400080,#00ff00,10.0,AAA
#4000a0,#00ff00,8.87,AAA
#4000c0,#00ff00,7.73,AAA
#4000e0,#00ff00,6.67,AA
#402000,#00ff00,10.74,AAA
#402020,#00ff00,10.59,AAA
#402040,#00ff00,10.21,AAA
#402060,#00ff00,9.6,AAA
#402080,#00ff00,8.81,AAA
#4020a0,#00ff00,7.92,AAA
#4020c0,#00ff00,7.0,AAA
#4020e0,#00ff00,6.12,AA
#404000,#00ff00,7.84,AAA
#404020,#00ff00,7.76,AAA
#404040,#00ff00,7.56,AAA
#404060,#00ff00,7.22,AAA
#404080,#00ff00,6.76,AA
#4040a0,#00ff00,6.22,AA
#4040c0,#00ff00,5.64,AA
#4040e0,#00ff00,5.05,AA
#406000,#00ff00,5.29,AA
#406020,#00ff00,5.26,AA
#406040,#00ff00,5.16,AA
#406060,#00ff00,5.0,AA
#406080,#00ff00,4.78,AA
#4060a0,#00ff00,4.5,AA
#4060c0,#00ff00,4.19,None
#4060e0,#00ff00,3.86,None
#408000,#00ff00,3.55,None
#408020,#00ff00,3.54,None
#408040,#00ff00,3.49,None
#408060,#00ff00,3.42,None
#408080,#00ff00,3.31,None
#4080a0,#00ff00,3.18,None
#4080c0,#00ff00,3.02,None
#4080e0,#00ff00,2.84,None
#40a000,#0000ff,2.56,None
#40a020,#0000ff,2.56,None
#40a040,#0000ff,2.59,None
#40a060,#0000ff,2.62,None
#40a080,#0000ff,2.68,None
#40a0a0,#0000ff,2.76,None
#40a0c0,#0000ff,2.87,None
#40a0e0,#0000ff,3.0,None
#40c000,#0000ff,3.58,None
#40c020,#0000ff,3.59,None
#40c040,#0000ff,3.61,None
#40c060,#0000ff,3.65,None
#40c080,#0000ff,3.71,None
#40c0a0,#0000ff,3.79,None
#40c0c0,#0000ff,3.89,None
#40c0e0,#0000ff,4.02,None
#40e000,#0000ff,4.86,AA
#40e020,#0000ff,4.87,AA
#40e040,#0000ff,4.89,AA
#40e060,#0000ff,4.93,AA
#40e080,#0000ff,4.99,AA
#40e0a0,#0000ff,5.07,AA
#40e0c0,#0000ff,5.17,AA
#40e0e0,#0000ff,5.3,AA
#600000,#00ff00,10.22,AAA
#600020,#00ff00,10.08,AAA
#600040,#00ff00,9.74,AAA
#600060,#00ff00,9.18,AAA
#600080,#00ff00,8.46,AAA
#6000a0,#00ff00,7.63,AAA
#6000c0,#00ff00,6.78,AA
#6000e0,#00ff00,5.95,AA
#602000,#00ff00,8.98,AAA
#602020,#00ff00,8.87,AAA
#602040,#00ff00,8.61,AAA
#602060,#00ff00,8.17,AAA
#602080,#00ff00,7.59,AAA
#6020a0,#00ff00,6.92,AA
#6020c0,#00ff00,6.21,AA
#6020e0,#00ff00,5.5,AA
#604000,#00ff00,6.86,AA
#604020,#00ff00,6.8,AA
#604040,#00ff00,6.64,AA
#604060,#00ff00,6.38,AA
#604080,#00ff00,6.02,AA
#6040a0,#00ff00,5.59,AA
#6040c0,#00ff00,5.12,AA
#6040e0,#00ff00,4.63,AA
#606000,#00ff00,4.83,AA
#606020,#00ff00,4.8,AA
#606040,#00ff00,4.72,AA
#606060,#00ff00,4.58,AA
#606080,#00ff00,4.39,None
#6060a0,#00ff00,4.16,None
#6060c0,#00ff00,3.89,None
#6060e0,#00ff00,3.6,None
#608000,#00ff00,3.34,None
#608020,#00ff00,3.32,None
#608040,#00ff00,3.28,None
#608060,#00ff00,3.22,None
#608080,#00ff00,3.13,None
#6080a0,#00ff00,3.01,None
#6080c0,#00ff00,2.86,None
#6080e0,#00ff00,2.7,None
#60a000,#0000ff,2.67,None
#60a020,#0000ff,2.68,None
#60a040,#0000ff,2.7,None
#60a060,#0000ff,2.74,None
#60a080,#0000ff,2.8,None
#60a0a0,#0000ff,2.88,None
#60a0c0,#0000ff,2.98,None
#60a0e0,#0000ff,3.11,None
#60c000,#0000ff,3.7,None
#60c020,#0000ff,3.71,None
#60c040,#0000ff,3.73,None
#60c060,#0000ff,3.77,None
#60c080,#0000ff,3.83,None
#60c0a0,#0000ff,3.91,None
#60c0c0,#0000ff,4.01,None
#60c0e0,#0000ff,4.14,None
#60e000,#0000ff,4.98,AA
#60e020,#0000ff,4.98,AA
#60e040,#0000ff,5.01,AA
#60e060,#0000ff,5.04,AA
